epoch,loss,accuracy,val_loss,val_accuracy,
1,1.5115192106791906,0.45705811138014524,2.247455279032389,0.22823293172690762,
2,1.2705109758036477,0.5178490718321226,1.9135138193766277,0.32373493975903617,
3,1.204501428774425,0.5491152138821631,1.9069440364837646,0.32809236947791165,
4,1.161501441683088,0.5578258676351896,1.7539596954981487,0.3768072289156626,
5,1.1505299721445357,0.5601311541565781,1.8487942616144817,0.3624096385542169,
6,1.1194076367786951,0.572343623890234,1.9281974633534749,0.3648393574297189,
7,1.1015969599996294,0.57999192897498,1.8081061045328777,0.37915662650602416,
8,1.0748161609683717,0.5892453591606133,1.7240959405899048,0.4088955823293173,
9,1.063446968793869,0.587886400322841,1.8388623396555583,0.3787751004016064,
10,1.0411288610526495,0.5998274818401937,1.8741386731465657,0.40022088353413654,
11,1.0225196480751038,0.6002774414850686,1.9007283449172974,0.3851004016064257,
12,1.0110620622123991,0.6125827280064569,1.7471461296081543,0.4245783132530121,
13,0.9982753502471107,0.6181971347861178,1.7888559500376384,0.4019277108433735,
14,0.9808060867445809,0.6219007263922519,1.9133154948552449,0.39192771084337347,
15,0.9686439058610371,0.6234150524616625,1.7793248891830444,0.43461847389558234,
16,0.9607365429401398,0.626822033898305,1.85769784450531,0.4065060240963856,
17,0.9507299938372203,0.6274667070217917,1.8121066093444824,0.4165863453815261,
18,0.9336329677275249,0.6354560129136401,1.6281379858652751,0.4686345381526104,
19,0.9122792865548816,0.6492060129136401,1.8745085795720418,0.4332530120481928,
20,0.8822121151856014,0.659089991928975,1.772169868151347,0.4211646586345381,
21,0.8782480571951184,0.6589416868442293,1.7532735268274944,0.44991967871485944,
22,0.8573127878563744,0.6643613801452786,1.7949679692586262,0.45431726907630526,
23,0.8306072524615696,0.6848416061339792,1.9917940696080525,0.39188755020080324,
24,0.8124482695545469,0.6850433817594832,1.8177088499069214,0.44321285140562244,
25,0.805474790079253,0.6878702582728008,1.9356104532877605,0.43018072289156634,
26,0.8047801234892437,0.6957112590799033,1.8230986992518108,0.43518072289156623,
27,0.7673850570406232,0.7067736077481841,2.1656360626220703,0.40983935742971883,
28,0.7660020845276969,0.7007738095238095,1.789647102355957,0.4519678714859438,
29,0.7458001119749886,0.7068452380952381,1.8628098567326863,0.43753012048192774,
30,0.7197515730346952,0.7204771993543178,1.8629566431045532,0.4559036144578313,
31,0.7088165496076856,0.7221862389023406,1.920531153678894,0.4528714859437752,
32,0.6726961753198079,0.742884382566586,2.0157747666041055,0.44154618473895585,
33,0.6621597026075635,0.7488236481033089,1.9039157629013062,0.4441967871485944,
34,0.6484249894108091,0.7494521791767553,1.9375265836715698,0.44018072289156623,
35,0.6130599464688983,0.7699344229217111,2.0502994855244956,0.4526104417670683,
36,0.6092786139675549,0.7682253833736885,2.0605845053990683,0.4503012048192771,
37,0.5968146036778178,0.7721933010492332,1.8394982814788818,0.476285140562249,
38,0.5902125196797507,0.7738771186440678,2.0481431086858115,0.4502208835341366,
39,0.5509777878011975,0.794630750605327,2.2213590939839682,0.4382128514056225,
40,0.5298641536917005,0.8003682405165454,2.1500367323557534,0.4543574297188755,
